rk,school,div,str,ofs,dfs,sos
1,Stanford,D1,1.759,1.326,0.754,1.284
2,Long Beach St.,D1,1.734,1.317,0.759,1.247
3,BYU,D1,1.726,1.314,0.761,1.319
4,UCLA,D1,1.628,1.276,0.784,1.222
5,Ohio St.,D1,1.594,1.263,0.792,1.143
6,Pepperdine,D1,1.411,1.188,0.842,1.286
7,UC Santa Barbara,D1,1.380,1.175,0.851,1.239
8,Hawaii,D1,1.373,1.172,0.853,1.301
9,Lewis,D1,1.318,1.148,0.871,1.090
10,Loyola Chicago,D1,1.298,1.139,0.878,1.078
11,Penn St.,D1,1.255,1.120,0.893,1.120
12,UC Irvine,D1,1.240,1.114,0.898,1.312
13,Ball St.,D1,1.211,1.101,0.909,1.096
14,CSUN,D1,1.172,1.083,0.924,1.182
15,Grand Canyon,D1,1.113,1.055,0.948,1.025
16,California Baptist,D1,1.098,1.048,0.954,1.219
17,Harvard,D1,1.096,1.047,0.955,0.982
18,Southern California,D1,1.095,1.047,0.955,1.300
19,Springfield,D3,1.089,1.044,0.958,0.651
20,Carthage,D3,1.059,1.029,0.972,0.555
21,George Mason,D1,0.990,0.995,1.005,0.967
22,Quincy,D1,0.977,0.988,1.012,1.041
23,SUNY New Paltz,D3,0.974,0.987,1.013,0.590
24,Barton,D1,0.971,0.985,1.015,0.776
25,Saint Francis (PA),D1,0.967,0.983,1.017,0.934
26,IPFW,D1,0.964,0.982,1.019,1.006
27,McKendree,D1,0.942,0.971,1.030,0.987
28,Erskine,D1,0.941,0.970,1.031,0.780
29,NJIT,D1,0.925,0.962,1.040,0.958
30,Concordia (CA),D1,0.886,0.941,1.062,0.979
31,Stevens,D3,0.883,0.940,1.064,0.521
32,Sacred Heart,D1,0.877,0.937,1.068,0.946
33,Pfeiffer,D1,0.851,0.923,1.084,0.769
34,Lindenwood (MO),D1,0.847,0.920,1.087,1.173
35,UC San Diego,D1,0.843,0.918,1.089,1.153
36,Rutgers-Newark,D3,0.840,0.917,1.091,0.465
37,Princeton,D1,0.840,0.916,1.091,1.002
38,P.R.-Mayaguez,D1,0.822,0.907,1.103,0.867
39,Belmont Abbey,D1,0.816,0.903,1.107,0.703
40,Nazareth,D3,0.814,0.902,1.108,0.596
41,UC Santa Cruz,D3,0.811,0.901,1.110,0.636
42,Vassar,D3,0.797,0.893,1.120,0.501
43,Stevenson,D3,0.785,0.886,1.129,0.561
44,Limestone,D1,0.772,0.878,1.138,0.750
45,Mount Olive,D1,0.758,0.870,1.149,0.849
46,MSOE,D3,0.744,0.863,1.159,0.520
47,P.R.-Rio Piedras,D1,0.729,0.854,1.171,0.967
48,Coker,D1,0.724,0.851,1.176,0.612
49,NYU,D3,0.719,0.848,1.179,0.675
50,P.R.-Bayamon,D1,0.705,0.840,1.191,0.974
51,Mt. St. Joseph,D3,0.676,0.822,1.216,0.517
52,MIT,D3,0.674,0.821,1.218,0.507
53,Dominican (IL),D3,0.665,0.815,1.227,0.542
54,Wentworth,D3,0.659,0.812,1.232,0.510
55,Kean,D3,0.656,0.810,1.234,0.352
56,Elmira,D3,0.654,0.809,1.236,0.557
57,King (TN),D1,0.650,0.807,1.240,0.789
58,Alderson Broaddus,D1,0.637,0.798,1.253,0.771
59,Rivier,D3,0.626,0.791,1.264,0.586
60,Marymount (VA),D3,0.623,0.789,1.267,0.541
